item_objectid,metadata,category,image
006kWc5eAJ,"{'size': 'CHILD-CM-80', 'type': 'Sweater', 'brand': 'Newbie By Kappahl', 'color': ['Brown'], 'fabric': 'Chunky knit', 'defects': [{'id': '4308220512', 'type': 'Washed out'}], 'pattern': 'Other', 'material': ['Organic cotton'], 'condition': 'Acceptable', 'demography': 'Boys', 'sleeveLength': 'Long sleeves'}",Clothing > Sweaters & Cardigans > Sweaters,https://prod.files.sellpy.net/photoRobot-fixed-hamm-g-4/006kWc5eAJ-fb32-0-timed-sequence.jpg
008p9xonSn,"{'size': 'WMN-EU-40', 'type': 'Jumpsuit', 'brand': 'H&M Coachella', 'color': ['Black'], 'pattern': 'Other', 'material': ['Polyester', 'Polyamide'], 'condition': 'Good', 'productId': '0283138', 'demography': 'Women'}",Clothing > Jumpsuits & Sets > Jumpsuits,https://prod.files.sellpy.net/photoRobot-standard-williams-g-4/008p9xonSn-ab6f-0.jpg
00AgUuWStc,"{'size': 'WMN-INT-L', 'type': 'Sweatshirt', 'brand': 'Sail Racing', 'color': ['Pink'], 'fabric': 'French Terry', 'defects': [{'id': '4784852480', 'type': 'Washed out'}], 'pattern': 'Monochrome', 'material': ['Polyester', 'Cotton'], 'neckline': 'Round neck', 'condition': 'Acceptable', 'demography': 'Women', 'sleeveLength': 'Long sleeves'}",Clothing > Sweaters & Cardigans > Hoodies & Sweatshirts,https://prod.files.sellpy.net/photoRobot-standard-centrum/00AgUuWStc-f6d1-0.jpg
011XUHF73W,"{'size': 'WMN-INT-L', 'type': 'Dress', 'brand': 'Saint Tropez', 'color': ['Black'], 'pattern': 'Monochrome', 'material': ['Viscose', 'Elastane', 'Polyester'], 'neckline': 'V-neck', 'condition': 'Good', 'demography': 'Women', 'sleeveLength': 'Three-quarter sleeve', 'garmentLength': 'Mini'}",Clothing > Dresses > Dresses,https://prod.files.sellpy.net/photoRobot-standard-fomu-g-1/011XUHF73W-1776-0.jpg
012OTXQwjT,"{'type': 'Sports bag', 'brand': 'Adidas', 'color': ['Red'], 'defects': [{'id': '2925896182', 'type': 'Stains', 'location': 'Front'}, {'id': '3352609226', 'type': 'Stains', 'location': 'Back'}], 'pattern': 'Print', 'condition': 'Acceptable', 'demography': 'Unisex (Adults)', 'measurement': {'depthInCm': 1, 'widthInCm': 34, 'heightInCm': 45}}",Accessories > Bags,https://prod.files.sellpy.net/photoRobot-fixed-morat-g-3/012OTXQwjT-7ab8-0-timed-sequence.jpg
013gDsGUKY,"{'size': 'WMN-EU-40', 'type': 'Denim jacket', 'brand': 'L.O.G.G by H&M', 'color': ['Blue'], 'defects': [{'id': '2035814611', 'type': 'Dirty', 'location': 'Collar/neckline'}], 'pattern': 'Monochrome', 'material': ['Elastane', 'Cotton'], 'condition': 'Acceptable', 'demography': 'Women', 'sleeveLength': 'Long sleeves'}",Clothing > Jackets & Outerwear > Denim jackets,https://prod.files.sellpy.net/photoRobot-standard-fait-g-1/013gDsGUKY-0f4c-0.jpg
01dsexM2es,"{'size': 'WMN-INT-M', 'type': 'Dress', 'brand': 'KappAhl', 'color': ['Black'], 'pattern': 'Monochrome', 'neckline': 'V-neck', 'condition': 'Good', 'demography': 'Women', 'sleeveLength': 'Long sleeves', 'garmentLength': 'Midi'}",Clothing > Dresses > Dresses,https://prod.files.sellpy.net/photoRobot-standard-hartman-g-2/01dsexM2es-90a4-0.jpg
01JcDeEyex,"{'size': 'WMN-EU-34/36', 'type': 'Maxi dress', 'brand': 'KappAhl', 'color': ['Black'], 'fabric': 'Velvet', 'pattern': 'Monochrome', 'material': ['Polyester', 'Elastane'], 'neckline': 'Round neck', 'condition': 'Very good', 'demography': 'Women', 'sleeveLength': 'Sleeveless', 'garmentLength': 'Maxi'}",Clothing > Dresses > Dresses,https://prod.files.sellpy.net/photoRobot-standard-staley-g-2/01JcDeEyex-96cf-0.jpg
01K2lpZPpy,"{'size': 'WMN-INT-XS', 'type': 'Crop top', 'brand': 'Shein', 'color': ['Blue', 'White'], 'pattern': 'Other', 'material': ['Polyester', 'Elastane'], 'condition': 'Good', 'demography': 'Women', 'sleeveLength': 'Long sleeves'}",Clothing > Tops,https://prod.files.sellpy.net/photoRobot-standard-senna-g-4/01K2lpZPpy-8f06-0.jpg
01Q6vJ9sN2,"{'size': 'PANTS-INCH-34', 'type': 'Joggers', 'brand': 'Adidas', 'color': ['Black'], 'pattern': 'Monochrome', 'material': ['Nylon'], 'condition': 'Good', 'demography': 'Unisex (Adults)', 'pantsLength': '36'}",Clothing > Sportswear > Bottoms,https://prod.files.sellpy.net/photoRobot-hanging-photology-g-1/01Q6vJ9sN2-0cb9-0.jpg
