user_objectid,item_objectid,interaction_type,createdat
01d8CuzSnr,SPGdb5DcAF,wishlist,2022-02-26T23:43:16.037Z
02AkaUhITO,r0p6IGXjgt,order,2022-04-28T23:27:37.158Z
02dSnWTUGU,xRhYBpDNqM,wishlist,2022-08-17T00:36:07.107Z
01Oceyt3ZP,PyjChJEkBw,order,2022-09-05T19:34:19.553Z
00wGE6lNGR,DN4SacCG98,order,2022-09-27T19:29:47.646Z
00SKNKLWj4,xhkfrEKo8E,wishlist,2022-04-07T18:00:57.743Z
00EblWiOYS,zXZ5foRnWv,wishlist,2022-09-22T11:08:59.627Z
02dHfPLkuN,eHVOctvZa0,wishlist,2022-01-14T00:00:21.194Z
023F4WnkL8,8EjvoO4Jg7,order,2022-09-18T01:12:59.517Z
00pzdpRTGa,hfyxHDgdFN,wishlist,2022-10-21T16:14:24.763Z
01ceiEQJXr,fOJNHFhXjl,wishlist,2022-04-18T13:52:59.871Z
0013MOFg0A,lfAdFyxMaA,wishlist,2022-03-08T08:12:53.378Z
01d8CuzSnr,DU7FXZCnPp,wishlist,2022-01-14T10:46:15.885Z
01yzaGijlt,T03BlarfWO,wishlist,2022-10-04T07:00:45.905Z
02c2pzx1A8,lywWEVG8pK,wishlist,2022-04-15T08:04:21.841Z
01d8CuzSnr,1ivpxHdGpg,wishlist,2022-02-26T14:51:08.268Z
00EblWiOYS,yFvWRiU2hU,wishlist,2022-07-02T20:38:38.852Z
01EvY2LKWe,JRYXXclJyz,wishlist,2022-06-18T17:55:56.261Z
027icITZkB,y5Jk4hqwuc,order,2022-07-25T07:26:55.745Z
01d8CuzSnr,JV0CbaSL6v,wishlist,2022-11-26T09:31:53.606Z
02gjtNrh9u,Ay70oPBHOF,wishlist,2022-11-21T00:01:00.210Z
00EblWiOYS,lSy8Fvh1J9,wishlist,2022-04-01T10:42:32.495Z
00wwNPDO6V,NeVxf51HEZ,wishlist,2022-11-06T22:49:13.540Z
01d8CuzSnr,CiJhgOJ6sU,wishlist,2022-02-26T15:30:38.632Z
01d8CuzSnr,CGL4QSsvXf,wishlist,2022-12-04T09:13:21.565Z
01yzaGijlt,H8FDAAqVv6,wishlist,2022-08-01T16:39:14.462Z
00E53mf0Dd,roEEYNZWIQ,order,2022-05-14T12:35:36.342Z
01JhVdPfLS,u2NYMvF5ds,wishlist,2022-08-27T23:44:20.552Z
01yzaGijlt,IELYMgfx6c,wishlist,2022-10-13T14:13:48.987Z
00AUUVV05g,OhwfTk8eiz,wishlist,2023-01-28T15:48:53.329Z
01EvY2LKWe,zihaEWjkAD,wishlist,2022-11-10T15:04:24.154Z
00pzdpRTGa,ME6p1JzXDe,wishlist,2022-12-06T21:24:14.405Z
01yzaGijlt,FdHKOcgiQ9,wishlist,2022-08-03T19:49:04.746Z
00momJS8qJ,APCxpMoC3E,wishlist,2023-01-30T19:58:46.083Z
00momJS8qJ,MBvZQGdiUq,wishlist,2022-09-10T11:00:47.578Z
00momJS8qJ,5mmiRFWuke,wishlist,2023-01-22T19:34:55.251Z
025g6fEkki,VLksvCscDd,wishlist,2022-12-12T14:29:36.123Z
01mTOYFHtm,0qKzDcS453,wishlist,2022-05-01T22:11:33.423Z
0134WuQD06,LHuBIE9mnZ,wishlist,2023-01-25T12:36:44.300Z
00pzdpRTGa,J0r857imcx,wishlist,2022-12-06T21:24:23.045Z
00pzdpRTGa,rlxkeVboT6,wishlist,2023-01-22T12:55:28.069Z
01d8CuzSnr,AAYIlz06DH,wishlist,2022-07-03T00:42:45.677Z
01d8CuzSnr,mCWt2ZWAmf,wishlist,2022-04-02T03:05:19.948Z
00AUUVV05g,bDvNoauYuz,wishlist,2022-12-16T20:12:44.799Z
00SKNKLWj4,HrUie6oqSQ,wishlist,2022-06-04T08:44:12.035Z
01kGQpzODN,XLVI73eXmi,order,2022-03-22T08:27:03.815Z
01wENA8Usq,JzThijaDpY,wishlist,2022-03-23T08:29:38.992Z
01JhVdPfLS,G2HW9MEr2k,wishlist,2023-01-21T23:09:54.395Z
00EblWiOYS,mDLJhsNllL,wishlist,2023-02-04T11:04:01.468Z
01yzaGijlt,TonqSJCNhx,wishlist,2023-01-29T16:06:12.992Z
01JhVdPfLS,8faMpkwlkd,wishlist,2022-12-23T21:17:25.926Z
01d8CuzSnr,aZYSGwzqgF,wishlist,2022-05-07T00:37:15.118Z
00EblWiOYS,xfGnw27XGC,wishlist,2022-07-23T19:16:30.895Z
00GBB2MzDG,vHFwesXW8D,wishlist,2022-05-16T10:43:48.688Z
01FoJXnqem,tKtNFMv8LG,wishlist,2022-07-09T07:12:40.673Z
01d8CuzSnr,3zI2jSQHZG,wishlist,2022-01-20T20:45:40.875Z
027icITZkB,zEMu8HKtkJ,wishlist,2023-01-25T10:23:57.880Z
01u7ZiVmH8,s3pIdhx456,wishlist,2022-09-10T14:22:29.823Z
020V2A51Do,aNqgw3nCOp,wishlist,2022-08-03T17:54:36.241Z
01Oceyt3ZP,rSsKvTzOjC,order,2022-10-28T18:31:09.722Z
027icITZkB,V9qJHODO5d,order,2022-07-21T18:02:31.268Z
003shjZWGk,bUanz1flxr,order,2022-06-27T07:29:35.207Z
00KtIkQFfD,o3q2vpayAU,wishlist,2022-12-27T16:23:16.780Z
02AkaUhITO,2KPzTchtQF,order,2022-06-20T12:27:50.871Z
01JhVdPfLS,TuUcgwqEhM,wishlist,2022-05-17T17:12:58.161Z
00AUUVV05g,QSQcRHP0sm,order,2022-12-16T22:23:22.924Z
01EvY2LKWe,MdyIXRWMAF,wishlist,2023-01-18T21:11:13.606Z
027icITZkB,gnkGVjki0i,wishlist,2022-05-01T11:27:37.341Z
01ceiEQJXr,nlzDgOcUqr,wishlist,2022-11-26T12:44:16.328Z
01Oceyt3ZP,SIKLQHlZEg,wishlist,2022-02-28T19:25:44.062Z
00EblWiOYS,MbsN9EXJ9p,wishlist,2022-02-28T15:23:02.547Z
01FoJXnqem,yeXYqSHPIc,order,2022-10-07T17:49:52.506Z
01Oceyt3ZP,4hKzV2zCDa,wishlist,2022-04-08T09:32:01.625Z
01d8CuzSnr,BWwfL6hbTW,wishlist,2022-05-09T11:31:44.333Z
024U2SeIWY,fKC16bacmB,wishlist,2022-05-05T16:26:02.921Z
00K5oCeUZJ,sFSpWHAwq7,wishlist,2022-01-03T08:53:35.722Z
021wV47ifb,eqCF1EzsRL,wishlist,2022-11-29T08:56:58.516Z
01lhwBQB8D,lQUfXZlTFw,wishlist,2022-11-14T21:34:07.791Z
00EblWiOYS,AQMs3nzksw,wishlist,2022-11-09T09:00:04.253Z
01yzaGijlt,ZEo87zR9ga,wishlist,2023-01-22T19:34:16.171Z
00EblWiOYS,OclwsfBkcd,wishlist,2022-08-22T17:34:43.506Z
01d8CuzSnr,HDmAxwxJJw,wishlist,2022-02-26T14:36:32.179Z
00Dg3XgJsV,kjxTo4WTj2,order,2023-01-30T15:20:25.383Z
00pzdpRTGa,04TmSBBPXy,wishlist,2022-05-27T07:03:22.687Z
00wGE6lNGR,bPBYg8E4Dh,wishlist,2022-08-28T18:49:30.181Z
021wV47ifb,kRIb5ut3TH,wishlist,2022-06-24T14:53:53.452Z
01ZGmUnTfW,zCffbKf9Bf,wishlist,2022-05-07T06:53:06.703Z
0013MOFg0A,W052o75RZX,wishlist,2022-03-15T12:30:21.234Z
00momJS8qJ,Wlf57Gg4Ap,wishlist,2022-11-27T15:42:08.859Z
02gpGhXMsh,t5APuVanjS,order,2022-07-25T17:35:55.364Z
01X6NqAFN8,qlTaafzMz4,wishlist,2022-10-19T07:23:22.497Z
02Jcs0IQUy,p2x0R5xPV7,wishlist,2022-01-24T21:32:24.252Z
01d8CuzSnr,HGDHbNtlNK,wishlist,2022-02-26T23:06:28.312Z
01d8CuzSnr,8KdDAmm6Cm,wishlist,2022-02-26T15:12:26.166Z
01d8CuzSnr,D6fsLADL1L,wishlist,2022-06-14T21:31:49.313Z
00EblWiOYS,rFArEhEHcU,wishlist,2022-09-30T07:23:37.004Z
027icITZkB,RNgfpX8Jzl,wishlist,2022-03-04T13:41:03.282Z
00pzdpRTGa,vfHjNzSKpc,wishlist,2022-09-19T06:53:10.644Z
01lhwBQB8D,w9HwhnStTc,wishlist,2022-11-14T21:32:44.814Z
01d8CuzSnr,H6WWVrHKYb,wishlist,2022-01-21T05:52:14.111Z
02c2pzx1A8,2A7z05M0dd,wishlist,2022-05-01T13:21:42.125Z
027icITZkB,Qhcz3huYNp,wishlist,2022-05-09T17:53:41.205Z
00EblWiOYS,R54YveOleZ,wishlist,2022-07-23T10:59:32.951Z
024U2SeIWY,Pnfy7qYsQD,wishlist,2022-08-29T10:06:48.070Z
00pzdpRTGa,OzHXEq4AxV,wishlist,2022-12-06T21:22:15.540Z
0013MOFg0A,n57PZFguei,wishlist,2022-02-11T18:44:22.527Z
02c2pzx1A8,KyfdCLALEo,wishlist,2022-04-26T10:36:08.343Z
0134WuQD06,SUxFxjDHl7,wishlist,2022-09-14T20:58:17.184Z
02GGag0IFi,NsC1N7l0NR,order,2022-11-03T09:13:26.825Z
01d8CuzSnr,VGAKwe846k,wishlist,2022-01-14T11:30:11.069Z
00momJS8qJ,6NOEF0slBW,wishlist,2022-11-20T18:46:10.076Z
00sA2GbESQ,cISx9bWwhu,order,2022-07-23T20:01:55.202Z
00pzdpRTGa,nTq96ADFO0,wishlist,2022-12-06T21:43:42.285Z
01d8CuzSnr,BOnkuo8KFm,wishlist,2022-05-06T21:57:05.554Z
01ceiEQJXr,1FtljF0P0T,wishlist,2022-11-19T14:35:40.337Z
01d8CuzSnr,IfMTw8VYL1,wishlist,2022-02-27T00:30:44.859Z
025g6fEkki,GFW7ZApkHE,wishlist,2022-05-08T20:37:47.354Z
01OTAq7Mvt,cOl9jgmDmO,wishlist,2022-11-11T11:58:42.123Z
01d8CuzSnr,dlfMyLdbQ6,wishlist,2022-02-26T18:22:29.454Z
021wV47ifb,HMIOOvAc3S,wishlist,2022-07-18T19:41:15.935Z
01yzaGijlt,34SrGQgRUC,wishlist,2023-01-29T18:09:37.275Z
027icITZkB,CzeE4jmDwM,order,2022-10-11T19:28:11.352Z
00EblWiOYS,XjPS9XzLzc,wishlist,2022-07-02T20:35:48.163Z
0134WuQD06,O1APs7X7ww,wishlist,2022-09-05T21:22:27.462Z
00SKNKLWj4,vOmn9QFvYO,wishlist,2022-03-20T16:46:50.492Z
01d8CuzSnr,mzmc1cGH1M,wishlist,2022-07-22T22:09:53.136Z
00K5oCeUZJ,LAd7jacdFB,wishlist,2022-08-31T12:12:15.300Z
00SKNKLWj4,qXuylGqs0X,wishlist,2022-04-07T17:51:15.205Z
01EaGceDtq,pqErSHhUio,wishlist,2022-08-07T17:44:37.157Z
01FoJXnqem,ExIGT1M6Uk,wishlist,2022-07-03T21:39:55.784Z
024U2SeIWY,CNvsgUBIps,wishlist,2022-01-20T20:56:17.757Z
01d8CuzSnr,Pabl2du4Ua,wishlist,2022-01-14T11:01:54.482Z
01d8CuzSnr,1kcDiDiuoA,wishlist,2022-01-20T19:32:04.537Z
00K5oCeUZJ,RCOQ5feRed,wishlist,2022-01-03T09:13:02.462Z
01FVdvoOFq,SiewGHJ1P2,wishlist,2022-11-20T13:07:10.600Z
024U2SeIWY,WFWe42C9xj,wishlist,2022-09-23T09:44:11.823Z
00K5oCeUZJ,werdA9OZb7,wishlist,2022-07-09T12:35:07.902Z
00EblWiOYS,Fdd6Tp8BWk,wishlist,2022-09-30T07:12:50.228Z
01yzaGijlt,TSsLUAsxrr,wishlist,2023-01-25T16:16:43.318Z
00sA2GbESQ,scnTMwbtDR,wishlist,2022-11-26T14:47:14.320Z
01d8CuzSnr,ymobmNiSC9,wishlist,2022-04-16T22:24:52.528Z
021anu8r12,CTcFV4Ea6s,order,2022-06-02T06:47:58.101Z
00wGE6lNGR,93cjqwSo9o,order,2023-02-04T14:36:13.480Z
00momJS8qJ,VHPymRSH0X,wishlist,2022-11-29T19:58:36.393Z
025g6fEkki,VuU9FtyG6z,wishlist,2022-11-30T14:20:20.014Z
00momJS8qJ,gdIx9GePYb,wishlist,2022-11-30T05:08:57.001Z
021wV47ifb,IXcyhsmcci,wishlist,2022-09-26T17:34:10.252Z
00zkN5iqEq,6PscaiIkD8,order,2022-09-04T09:37:22.867Z
01yzaGijlt,ljnKEN5zmH,wishlist,2023-01-20T20:35:38.292Z
01uCQ1Lz9E,laEqwhsVgt,wishlist,2023-01-08T18:03:11.090Z
